Job Id,Unit Id,Annotation_Id,Unit,Annotated Span,Media_Unit-Annotation_Score,Expert,Ground_Truth
245,1,wsj_0173,The Avon Conn . company 's stock hit a high in 1983 after it unveiled its Adam home computer but the product was plagued with glitches and the company 's fortunes plunged .,plagued,0.33,1,1
245,2,wsj_1013,"Thomas Spiegel Columbia 's chairman said in a statement that the thrift was """" disappointed """" by the effects of the accounting changes .",said,0.22,1,1
245,2,wsj_1013,"Thomas Spiegel Columbia 's chairman said in a statement that the thrift was """" disappointed """" by the effects of the accounting changes .",disappointed,0,1,1
245,3,wsj_0660,The companies said the transaction is being structured this way because the laws of the Netherlands Antilles under which Erbamont is organized do n't provide for merger transactions .,structured,0.21,1,1
245,3,wsj_0660,The companies said the transaction is being structured this way because the laws of the Netherlands Antilles under which Erbamont is organized do n't provide for merger transactions .,provide,0.14,1,1
245,3,wsj_0660,The companies said the transaction is being structured this way because the laws of the Netherlands Antilles under which Erbamont is organized do n't provide for merger transactions .,said,0.14,1,1
245,4,APW19980227.0487,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious,tell,0.36,1,1
245,4,APW19980227.0487,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious,heard,0.27,1,1
245,4,APW19980227.0487,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious,said,0.27,1,1
245,4,APW19980227.0487,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious,talk,0.27,1,1
245,4,APW19980227.0487,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious,believe,0.09,1,1
245,4,APW19980227.0487,Har - Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious,serious,0,1,0
245,5,wsj_0505,They said they expect the transaction to be completed by Dec . 15,completed,0.38,1,1
245,5,wsj_0505,They said they expect the transaction to be completed by Dec . 15,expect,0.09,1,1
245,5,wsj_0505,They said they expect the transaction to be completed by Dec . 15,said,0.09,1,1
245,6,wsj_0816,Yield on the issue was 7.88 %,[NONE],0.14,1,0
245,7,wsj_1014,Some experts now predict Anheuser 's entry into the fray means near-term earnings trouble for all the industry players,entry,0.57,1,1
245,7,wsj_1014,Some experts now predict Anheuser 's entry into the fray means near-term earnings trouble for all the industry players,predict,0.42,1,1
245,7,wsj_1014,Some experts now predict Anheuser 's entry into the fray means near-term earnings trouble for all the industry players,trouble,0.14,1,1
245,7,wsj_1014,Some experts now predict Anheuser 's entry into the fray means near-term earnings trouble for all the industry players,means,0,1,1
245,9,wsj_0585,And to protect their reduced capital investment from eroding further market makers became quicker to lower price quotes when sell programs are in progress .,lower,0.32,1,1
245,9,wsj_0585,And to protect their reduced capital investment from eroding further market makers became quicker to lower price quotes when sell programs are in progress .,protect,0.21,1,1
245,9,wsj_0585,And to protect their reduced capital investment from eroding further market makers became quicker to lower price quotes when sell programs are in progress .,in,0,1,0
245,10,wsj_0745,"I really do n't see the government doing something that Jaguar does n't want over the next 14 months """" said Kenneth Warren a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain 's House of Commons .",doing,0.45,1,1
